Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Loan product,borrowers,No of Loans,Outstanding Princiapl,No of OD Loans,1-30,31-60,61-90,91-120,121-150,151-180,181-365,>365
Gold Loans,49372,82696,836.5380562199,0,0,0,0,0,0,0,0,0
Group Loans,168942,176250,676.791704077713,395,0.754709255,0.18772697800000002,0.185636884,0.095485085,0.023726644,0.002898359,0.033365737,0.036741008
LAP,890,890,43.919637664999996,21,0.385503253,0.087657023,0.22056268599999998,0.085471727,0.113713766,0.053604321999999996,0.034812231,0
PL-UnSecured ,41274,69143,73.018961893,0,0,0,0,0,0,0,0,0
MSME - Business Loans,11015,11016,60.8963582469998,232,0.409309753,0.302773756,0.336813164,0.184749525,0.156387897,0.030763352,0.031683649,0
Home Loan,1144,1144,50.200387541,0,0,0,0,0,0,0,0,0
Corporate Loans,1,3,3.6977951270000005,0,0,0,0,0,0,0,0,0
Consumer Loans,4451,4588,2.69592092,11,0.00425,0.002063,0.000404,0,0.0012,0,0.00016,0
,,,,,,,,,,,,
,,,,,,,,,,,,
Loan product,Borrowers,No of Loans,Outstanding Princiapl,No of OD Loans,1930-01-01 00:00:00,31-60,61-90,91-120,121-150,151-180,181-365,>365
Gold Loans,44990,75977,686.5555628759,0,0,0,0,0,0,0,0,0
Group Loans,159487,166820,653.523676365938,179,0.192082871,0.18406772700000001,0.102185066,0.023785963,0.002924265,0.031589092,0.001776645,0.037105095000000005
PL-UnSecured ,38521,65243,69.013537958,0,0,0,0,0,0,0,0,0
LAP,804,804,36.975048103000006,15,0.257876234,0.11637686000000001,0.100920777,0.29959407000000005,0.053604321999999996,0.034812231,0,0
MSME - Business Loans,11107,11108,65.6446472969998,179,0.32805535,0.35083413799999996,0.262890179,0.162133571,0.049843566,0.010422879,0.021260770000000002,0
Home Loan,1047,1047,43.0840763320001,0,0,0,0,0,0,0,0,0
Corporate Loans,1,3,3.798845014,0,0,0,0,0,0,0,0,0
Consumer Loans,4520,4656,2.858550772,6,0.000303,0.002439,0,0.0012,0,0,0.00016,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Loan product,borrowers,No of Loans,Outstanding Princiapl,No of OD Loans,1-30,31-60,61-90,91-120,121-150,151-180,181-365,>365
Gold Loans,52612,89709,927.3096922688999,0,0,0,0,0,0,0,0,0
Group Loans,175771,182988,682.519511919472,781,1.198161432,0.728293592,0.25010800699999997,0.144111229,0.098974189,0.020085354,0.036264096,0.036741008
LAP,973,973,50.123676494,28,0.124268311,0.198185265,0.40427915,0.2655463789999999,0.117581603,0.079194055,0.08841655300000001,0
PL-UnSecured ,42931,73319,78.499569493,0,0,0,0,0,0,0,0,0
MSME - Business Loans,10925,10927,56.1379836420001,284,0.082952092,0.655040316,0.341478229,0.27255954,0.168554208,0.08782915200000001,0.096338215,0
Home Loan,1201,1201,54.592658286,2,0.19496966999999998,0,0,0,0,0,0,0
Corporate Loans,1,3,3.272553199,0,0,0,0,0,0,0,0,0
Consumer Loans,4174,4301,2.30687284,23,0.006875,0.006085,0.000303,0.000572,0,0.0012,0.00016,0
